,Country,Universities Names,University Place,Tuition Fees,Living Fees,Top Course,Exam Score
776, Usa,"California State University, Sacramento","California, Usa",₹21K/Yr,₹9L/Yr,B.A/B.S Mathematics,"['TOEFL - 89', 'PTE - 53']"
777, Germany,"University of Koblenz - Landau, Mainz","Rhineland-Palatinate, Germany",₹54L/Yr,₹10L/Yr,M.B.A,"['GRE - 308', 'IELTS - 6', 'PTE - 53']"
778, Usa,"Hamilton College, Clinton","New York, Usa",₹52L/Yr,₹10L/Yr,M.B.A Data Analytics,['IELTS - 7']
779, Usa,"Towson University, Towson","Maryland, Usa",₹6L/Yr,₹10L/Yr,B.A Mathematics,"['GMAT - 560', 'TOEFL - 80']"
780, Sweden,"Mid Sweden University, Sundsvall","Vasternorrland, Sweden",₹58L/Yr,₹8L/Yr,M.B.A,"['GMAT - 570', 'IELTS - 6.0']"
781, Usa,"Wellesley College, Wellesley","Massachusetts, Usa",₹11L/Yr,₹5L/Yr,B.S Nursing,"['GMAT - 550', 'TOEFL - 90']"
782, Canada,"University of Winnipeg, Winnipeg","Manitoba, Canada",₹12L/Yr,₹9L/Yr,M.S Instructional Design and Tec...,['IELTS - 6.5']
783, Usa,"Embry-Riddle Aeronautical University, Daytona Beach","Florida, Usa",₹23L/Yr,₹11L/Yr,B.A Mathematics,"['IELTS - 5.5', 'PTE - 53']"
784, Usa,"University of Alaska, Anchorage","Alaska, Usa",₹15L/Yr,₹8L/Yr,M.S Analytics,['IELTS - 6.5']
785, Uk,"University of Highlands and Islands, Inverness","Scotland, Uk",₹20L/Yr,₹7L/Yr,B.S Mathematics,"['IELTS - 6.0', 'PTE - 46']"
786, Sweden,"Malmo University, Malmo","Skane, Sweden",₹38L/Yr,₹12L/Yr,M.B.A,['TOEFL - 79']
787, Usa,"Drew University, Madison","New Jersey, Usa",₹35L/Yr,₹8L/Yr,B.A/B.S Geographic Information S...,['TOEFL - 80']
788, Usa,"Kettering University, Flint","Michigan, Usa",₹18L/Yr,₹11L/Yr,M.S Computer Science,"['GMAT - 430', 'IELTS - 6']"
789, Usa,"College of Staten Island, Staten Island","New York, Usa",₹52L/Yr,₹7L/Yr,M.P.H,"['TOEFL - 71', 'PTE - 51']"
790, Usa,"University of Richmond, Richmond","Virginia, Usa",₹16L/Yr,₹8L/Yr,M.B.A,"['GMAT - 510', 'TOEFL - 79']"
791, Uk,"University of Roehampton, London","England, Uk",₹70K/Yr,₹7L/Yr,M.S Automotive Engineering,"['TOEFL - 71', 'PTE - 50']"
792, Germany,"Technical University of Clausthal, Clausthal-Zellerfeld","Lower Saxony, Germany",₹6L/Yr,₹8L/Yr,M.Ed Middle Grades Math and Scie...,"['IELTS - 6.0', 'PTE - 54']"
793, Canada,"University of Quebec at Chicoutimi, Chicoutimi","Quebec, Canada",₹59L/Yr,₹9L/Yr,M.S Data Analytics,"['Duolingo - 100', 'TOEFL - 80', 'PTE - 60']"
794, Usa,"Reed College, Portland","Oregon, Usa",₹16L/Yr,₹7L/Yr,M.S Engineering Management,"['TOEFL - 73', 'PTE - 49']"
795, Usa,"Sonoma State University, Rohnert Park","California, Usa",₹55L/Yr,₹7L/Yr,M.B.A,['IELTS - 7']
796, Usa,"Harvey Mudd College, Claremont","California, Usa",₹48L/Yr,₹9L/Yr,M.B.A Hospitality Management,"['GMAT - 590', 'IELTS - 6.5', 'PTE - 56']"
797, Usa,"Middlebury College, Middlebury","Vermont, Usa",₹55L/Yr,₹7L/Yr,M.B.A Health Care,"['IELTS - 6.0', 'PTE - 54']"
798, Usa,"Bates College, Lewiston","Maine, Usa",₹51L/Yr,₹8L/Yr,B.A Leadership,"['GMAT - 590', 'IELTS - 6.0', 'PTE - 61']"
799, Usa,"Davidson College, Davidson","North Carolina, Usa",₹56L/Yr,₹9L/Yr,B.A International Studies,"['IELTS - 6.0', 'PTE - 56']"
800, Usa,"Barnard College, New York City","New York, Usa",₹52L/Yr,₹7L/Yr,M.S Engineering,"['IELTS - 6.5', 'PTE - 55']"
801, Usa,"Pitzer College, Claremont","California, Usa",₹51L/Yr,₹6L/Yr,B.A/B.S Nursing,"['GMAT - 500', 'IELTS - 6', 'PTE - 46']"
802, Usa,"Lafayette College, Easton","Massachusetts, Usa",₹56L/Yr,₹8L/Yr,M.B.A,"['GMAT - 550', 'IELTS - 6.0', 'PTE - 50']"
803, Usa,"Vassar College, Poughkeepsie","New York, Usa",₹58L/Yr,₹7L/Yr,B.S Nursing,"['IELTS - 6.0', 'PTE - 55']"
804, Usa,"Kenyon College, Gambier","Ohio, Usa",₹72L/Yr,₹8L/Yr,M.S Information Technology,['IELTS - 6']
805, Usa,"Colby College, Waterville","Maine, Usa",₹57L/Yr,₹10L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 58']"
806, Usa,"Macalester College, Saint Paul","Minnesota, Usa",₹51L/Yr,₹10L/Yr,M.B.A Pharmaceutical Management,"['Duolingo - 110', 'TOEFL - 79', 'PTE - 60']"
807, Usa,"Whitman College, Walla Walla","Washington, Usa",₹61L/Yr,₹8L/Yr,M.S Business Analytics,"['Duolingo - 115', 'IELTS - 6.5', 'PTE - 59']"
808, Usa,"Colorado College, Colorado Springs","Colorado, Usa",₹53L/Yr,₹7L/Yr,M.A Teaching,"['GRE - 308', 'IELTS - 6.5', 'PTE - 61']"
809, Usa,"Skidmore College, Saratoga Springs","New York, Usa",₹54L/Yr,₹7L/Yr,M.B.A,"['TOEFL - 90', 'PTE - 61']"
810, Usa,"Occidental College, Los Angeles","California, Usa",₹44L/Yr,₹7L/Yr,M.B.A,"['GMAT - 500', 'IELTS - 6.0', 'PTE - 59']"
811, Usa,"Union College, Schenectady","New York, Usa",₹49L/Yr,₹7L/Yr,M.S Project Engineering and Mana...,"['IELTS - 6.5', 'PTE - 60']"
812, Usa,"Bentley University, Waltham","Massachusetts, Usa",₹46L/Yr,₹10L/Yr,M.B.A,"['TOEFL - 86', 'PTE - 60']"
813, Usa,"Rose-Hulman Institute of Technology, Terre Haute","Indiana, Usa",₹51L/Yr,₹8L/Yr,B.S Computer Science,['TOEFL - 83']
814, Usa,"Bryn Mawr College, Bryn Mawr","Pennsylvania, Usa",₹51L/Yr,₹7L/Yr,M.S Computer Science,['TOEFL - 70']
815, Usa,"Rhode Island School of Design, Providence","Rhode Island, Usa",₹53L/Yr,₹8L/Yr,M.B.A,"['TOEFL - 80', 'PTE - 59']"
816, Usa,"Dickinson College, Carlisle","Pennsylvania, Usa",₹46L/Yr,₹8L/Yr,M.Ed Athletic Coaching,"['GMAT - 560', 'IELTS - 6.5', 'PTE - 59']"
817, Usa,"Furman University, Greenville","South Carolina, Usa",₹72L/Yr,₹6L/Yr,M.S Computer Engineering,"['Duolingo - 110', 'TOEFL - 83', 'PTE - 56']"
818, Usa,"Connecticut College, New London","Connecticut, Usa",₹47L/Yr,₹10L/Yr,M.A Teaching,"['Duolingo - 110', 'IELTS - 6.5', 'PTE - 61']"
819, Usa,"DePauw University, Greencastle","Indiana, Usa",₹52L/Yr,₹7L/Yr,M.B.A,"['Duolingo - 110', 'TOEFL - 85', 'PTE - 58']"
820, Usa,"Mount Holyoke College, South Hadley","Massachusetts, Usa",₹55L/Yr,₹7L/Yr,M.S Agriculture,['TOEFL - 83']
821, Usa,"Gettysburg College, Gettysburg","Pennsylvania, Usa",₹17L/Yr,₹8L/Yr,M.B.A Residential Business Admin...,"['Duolingo - 115', 'IELTS - 6.5', 'PTE - 59']"
822, Usa,"The College of New Jersey, Ewing Township","New Jersey, Usa",₹44L/Yr,₹7L/Yr,M.S Computer Science,['TOEFL - 79']
823, Usa,"Rhodes College, Memphis","Tennessee, Usa",₹53L/Yr,₹12L/Yr,M.S Management,"['Duolingo - 110', 'TOEFL - 90', 'PTE - 60']"
824, Usa,"Denison University, Granville","Ohio, Usa",₹50L/Yr,₹9L/Yr,M.S Management,"['TOEFL - 83', 'PTE - 58']"
825, Usa,"Sarah Lawrence College, Bronxville","New York, Usa",₹52L/Yr,₹7L/Yr,M.S Computer Science,"['IELTS - 7.0', 'PTE - 63']"
826, Usa,"St. Lawrence University, Canton","New York, Usa",₹45L/Yr,₹8L/Yr,M.A Biology,['TOEFL - 90']
827, Usa,"Manhattan School of Music, New York City","New York, Usa",₹49L/Yr,₹11L/Yr,M.S Biomedical Research,"['GMAT - 560', 'TOEFL - 79', 'PTE - 60']"
828, Usa,"Kalamazoo College, Kalamazoo","Michigan, Usa",₹44L/Yr,₹10L/Yr,M.B.A,['TOEFL - 90']
829, Usa,"Providence College, Providence","Rhode Island, Usa",₹42L/Yr,₹6L/Yr,M.Eng Civil and Environmental En...,"['GMAT - 550', 'IELTS - 7.0', 'PTE - 58']"
830, Usa,"Loyola University Maryland, Baltimore","Maryland, Usa",₹49L/Yr,₹7L/Yr,M.B.A Global,['TOEFL - 100']
831, Usa,"Muhlenberg College, Allentown","Pennsylvania, Usa",₹53L/Yr,₹18K/Yr,M.Sc Data Science,"['Duolingo - 115', 'IELTS - 7.0']"
832, Usa,"Lewis and Clark College, Portland","Oregon, Usa",₹38L/Yr,₹14L/Yr,M.Sc Artificial Intelligence for...,['IELTS - 6.5']
833, Usa,"Marist College, Poughkeepsie","New York, Usa",₹47L/Yr,₹7L/Yr,M.B.A,"['GMAT - 550', 'IELTS - 6.5']"
834, Usa,"Lawrence University, Appleton","Wisconsin, Usa",₹25L/Yr,₹10L/Yr,M.B.A,"['Duolingo - 110', 'IELTS - 6.5', 'PTE - 60']"
835, Usa,"Hillsdale College, Hillsdale","Michigan, Usa",₹34L/Yr,₹7L/Yr,M.Sc International Business Mana...,"['Duolingo - 110', 'IELTS - 6.5', 'PTE - 60']"
836, Usa,"University of St. Thomas, Saint Paul","Minnesota, Usa",₹44L/Yr,₹10L/Yr,M.A Marketing and Brand Manageme...,"['GMAT - 550', 'TOEFL - 100', 'PTE - 66']"
837, Usa,"Bryant University, Smithfield","Rhode Island, Usa",₹23L/Yr,₹11L/Yr,M.A Interior Design,"['Duolingo - 110', 'IELTS - 6.5', 'PTE - 61']"
838, Usa,"University of Mary Washington, Fredericksburg","Virginia, Usa",₹41L/Yr,₹6L/Yr,Bachelor of Biology,"['Duolingo - 120', 'TOEFL - 89', 'PTE - 65']"
839, Usa,"Centre College, Danville","Kentucky, Usa",₹44L/Yr,₹3L/Yr,B.S Computing Science,['TOEFL - 93']
840, Usa,"Willamette University, Salem","Oregon, Usa",₹36L/Yr,₹1L/Yr,M.B.A,"['IELTS - 6.0', 'PTE - 60']"
841, Usa,"Butler University, Indianapolis","Indiana, Usa",₹11L/Yr,₹4L/Yr,M.S Computer Science,['PTE - 59']
842, Usa,"University of Washington, Bothell","Washington, Usa",₹43L/Yr,₹49K/Yr,M.B.A Supply Chain Management,"['Duolingo - 115', 'TOEFL - 88', 'PTE - 60']"
843, Usa,"Emerson College, Boston","Massachusetts, Usa",₹33L/Yr,₹5L/Yr,M.S Computer Science,"['Duolingo - 114', 'TOEFL - 80', 'PTE - 51']"
844, Usa,"Taylor University, Upland","Indiana, Usa",₹53L/Yr,₹4L/Yr,M.Ed,"['Duolingo - 140', 'TOEFL - 84', 'PTE - 58']"
845, Usa,"Bard College, Annandale-On-Hudson","New York, Usa",₹16L/Yr,₹7L/Yr,M.S Food and Nutrition,"['IELTS - 6.0', 'PTE - 55']"
846, Usa,"Truman State University, Kirksville","Missouri, Usa",₹46L/Yr,₹2L/Yr,B.S Computer Science,"['IELTS - 6.5', 'PTE - 58']"
847, Usa,"Illinois Wesleyan University, Bloomington","Illinois, Usa",₹14L/Yr,₹1L/Yr,B.B.A Business Management,"['IELTS - 7.0', 'PTE - 63']"
848, Usa,"State University of New York at Geneseo, Geneseo","New York, Usa",₹30L/Yr,₹9L/Yr,M.B.A Community Economics Develo...,"['IELTS - 6.0', 'PTE - 54']"
849, Usa,"Cedarville University, Cedarville","Ohio, Usa",₹46L/Yr,₹11L/Yr,B.B.A,"['TOEFL - 80', 'PTE - 59']"
850, Usa,"University of Pacific, Stockton","California, Usa",₹51L/Yr,₹6L/Yr,B.S Biology,['IELTS - 6']
851, Usa,"Rollins College, Winter Park","Florida, Usa",₹42L/Yr,₹1L/Yr,B.Tech Information Technology,"['IELTS - 6.0', 'PTE - 53']"
852, Usa,"Ithaca College, Ithaca","New York, Usa",₹35L/Yr,₹2L/Yr,B.S Computer Science,"['IELTS - 6.0', 'PTE - 59']"
853, Usa,"Hope College, Holland","Michigan, Usa",₹49L/Yr,₹6L/Yr,B.S Medical Laboratory Science,"['TOEFL - 80', 'PTE - 56']"
854, Usa,"The College of Wooster, Wooster","Ohio, Usa",₹38L/Yr,₹6L/Yr,B.S Computer Science,"['SAT - 1070', 'IELTS - 5', 'PTE - 42']"
855, Usa,"University of Scranton, Scranton","Pennsylvania, Usa",₹39L/Yr,₹4L/Yr,B.Tech Marine Environmental Tech...,"['Duolingo - 115', 'IELTS - 6.5', 'PTE - 58']"
856, Usa,"California Lutheran University, Thousand Oaks","California, Usa",₹49L/Yr,₹7L/Yr,B.S Aviation,"['Duolingo - 105', 'TOEFL - 79', 'PTE - 54']"
857, Usa,"Beloit College, Beloit","Wisconsin, Usa",₹18L/Yr,₹5L/Yr,B.S Computer Science,"['TOEFL - 86', 'PTE - 60']"
858, Usa,"Rockhurst University, Kansas City","Missouri, Usa",₹32L/Yr,₹4L/Yr,M.Ed,"['IELTS - 6.0', 'PTE - 50']"
859, Usa,"Point Loma Nazarene University, San Diego","California, Usa",₹30L/Yr,₹8L/Yr,M.S.W,"['IELTS - 6.5', 'PTE - 56']"
860, Usa,"Calvin College, Grand Rapids","Michigan, Usa",₹23L/Yr,₹7L/Yr,M.B.A Executive Management,"['IELTS - 6.5', 'PTE - 59']"
861, Usa,"Christopher Newport University, Newport News","Virginia, Usa",₹46L/Yr,₹8L/Yr,M.S Computer Science,"['Duolingo - 120', 'IELTS - 6.5', 'PTE - 59']"
862, Usa,"Juniata College, Huntingdon","Pennsylvania, Usa",₹11L/Yr,₹9L/Yr,M.B.A,"['Duolingo - 105', 'IELTS - 6.0', 'PTE - 58']"
863, Usa,"California State Polytechnic University, Pomona","California, Usa",₹46L/Yr,₹7L/Yr,B.S Immunology,"['IELTS - 6.5', 'PTE - 60']"
864, Usa,"University of Redlands, Redlands","California, Usa",₹44L/Yr,₹3L/Yr,M.B.A,"['IELTS - 7.0', 'PTE - 61']"
865, Usa,"University of Dallas, Irving","Texas, Usa",₹42L/Yr,₹2L/Yr,M.S Project Management,"['Duolingo - 115', 'IELTS - 6.5']"
866, Usa,"Washington College, Chestertown","Maryland, Usa",₹15L/Yr,₹5L/Yr,M.B.A,"['Duolingo - 110', 'TOEFL - 83', 'PTE - 60']"
867, Usa,"Massachusetts Maritime Academy, Buzzards Bay","Massachusetts, Usa",₹42L/Yr,₹1L/Yr,Certificate Veterinary Office Ad...,['TOEFL - 80']
868, Usa,"Siena College, Loudonville","New York, Usa",₹34L/Yr,₹3L/Yr,Bachelor of Business Administrat...,['TOEFL - 79']
869, Usa,"John Carroll University, University Heights","Ohio, Usa",₹32L/Yr,₹6L/Yr,M.B.A Global Leadership,['TOEFL - 90']
870, Usa,"Messiah University, Mechanicsburg","Pennsylvania, Usa",₹30L/Yr,₹4L/Yr,M.A Criminal Justice,['TOEFL - 79']
871, Usa,"Ohio Northern University, Ada","Ohio, Usa",₹44L/Yr,₹6L/Yr,B.B.A,['IELTS - 6']
872, Usa,"Southwestern University, Georgetown","Texas, Usa",₹35L/Yr,₹2L/Yr,M.S Environmental Science - Clim...,"['IELTS - 6.0', 'PTE - 50']"
873, Usa,"University of Evansville, Evansville","Indiana, Usa",₹44L/Yr,₹11L/Yr,B.A Automation and Robotics,['IELTS - 6.0']
874, Usa,"Earlham College, Richmond","Indiana, Usa",₹35L/Yr,₹2L/Yr,B.A International English Langua...,"['Duolingo - 120', 'TOEFL - 88', 'PTE - 60']"
875, Usa,"Milwaukee School of Engineering, Milwaukee","Wisconsin, Usa",₹41L/Yr,₹3L/Yr,B.N,"['Duolingo - 105', 'IELTS - 6.5', 'PTE - 58']"
876, Usa,"Pacific Lutheran University, Tacoma","Washington, Usa",₹48L/Yr,₹1L/Yr,Diploma Food and Beverage Manage...,"['IELTS - 6', 'PTE - 58']"
877, Usa,"Pratt Institute, Brooklyn","New York, Usa",₹46L/Yr,₹6L/Yr,B.N,"['IELTS - 5.5', 'PTE - 47']"
878, Usa,"Knox College, Galesburg","Illinois, Usa",₹27L/Yr,₹4L/Yr,Diploma Business,"['GMAT - 580', 'IELTS - 7']"
879, Usa,"SUNY Maritime College, Bronx","New York, Usa",₹30L/Yr,₹7L/Yr,Diploma Agriculture,"['GMAT - 550', 'IELTS - 6.5', 'PTE - 60']"
880, Usa,"California State University, Chico","California, Usa",₹43L/Yr,₹3L/Yr,M.A.Sc Building Engineering - Bu...,"['GMAT - 670', 'IELTS - 7', 'PTE - 65']"
881, Usa,"Wagner College, Staten Island","New York, Usa",₹20L/Yr,₹3L/Yr,B.B.A Accounting,"['GMAT - 550', 'TOEFL - 100', 'PTE - 70']"
882, Usa,"Ramapo College of New Jersey, Mahwah","New Jersey, Usa",₹34L/Yr,₹4L/Yr,B.S.N,['TOEFL - 93']
883, Usa,"Westminster College Salt Lake City, Salt Lake City","Utah, Usa",₹51L/Yr,₹2L/Yr,Diploma  Fashion Design,"['GRE - 309', 'IELTS - 7', 'PTE - 60']"
884, Usa,"Mills College, Oakland","California, Usa",₹39L/Yr,₹2L/Yr,Diploma Business Management,"['GMAT - 650', 'TOEFL - 100', 'PTE - 68']"
885, Usa,"Austin College, Sherman","Texas, Usa",₹47L/Yr,₹2L/Yr,Diploma Business Administration ...,"['GMAT - 550', 'IELTS - 7.0', 'PTE - 65']"
886, Usa,"Allegheny College, Meadville","Pennsylvania, Usa",₹12L/Yr,₹2L/Yr,B.B.A Sustainable Business pract...,"['GMAT - 550', 'TOEFL - 100', 'PTE - 65']"
887, Usa,"State University of New York at New Paltz, New Paltz","New York, Usa",₹35L/Yr,₹5L/Yr,B.A Business,"['TOEFL - 79', 'PTE - 58']"
888, Usa,"Wentworth Institute of Technology, Boston","Massachusetts, Usa",₹33L/Yr,₹4L/Yr,B.C.S,['IELTS - 6.5']
889, Usa,"Millsaps College, Jackson","Mississippi, Usa",₹24L/Yr,₹5L/Yr,Diploma Business Administration ...,['TOEFL - 80']
890, Usa,"John Brown University, Siloam Springs","Arkansas, Usa",₹18L/Yr,₹76K/Yr,Diploma Business,"['IELTS - 6', 'PTE - 54']"
891, Usa,"Salisbury University, Salisbury","Maryland, Usa",₹26L/Yr,₹2L/Yr,Diploma Computer Science Technol...,"['TOEFL - 84', 'PTE - 59']"
892, Usa,"Concordia College, Moorhead","Minnesota, Usa",₹15L/Yr,₹8L/Yr,B.N,['TOEFL - 84']
893, Usa,"University of Wisconsin, Eau Claire","Wisconsin, Usa",₹36L/Yr,₹5L/Yr,B.S Health Care Technology Manag...,"['TOEFL - 90', 'PTE - 58']"
894, Usa,"Hanover College, Hanover","Indiana, Usa",₹48L/Yr,₹6L/Yr,B.N,"['TOEFL - 80', 'PTE - 55']"
895, Usa,"Hampshire College, Amherst","Massachusetts, Usa",₹34L/Yr,₹2L/Yr,B.N,"['IELTS - 6.5', 'PTE - 60']"
896, Usa,"University of Minnesota, Morris","Minnesota, Usa",₹32L/Yr,₹6L/Yr,B.Tech Construction Management,['TOEFL - 80']
897, Usa,"Roger Williams University, Bristol","Rhode Island, Usa",₹39L/Yr,₹3L/Yr,B.N,"['GMAT - 560', 'TOEFL - 94', 'PTE - 65']"
898, Usa,"Lebanon Valley College, Annville","Pennsylvania, Usa",₹37L/Yr,₹6L/Yr,B.A Animation,"['GMAT - 600', 'TOEFL - 100']"
899, Usa,"Assumption College, Worcester","Massachusetts, Usa",₹16L/Yr,₹4L/Yr,BScN Nursing,"['IELTS - 6.0', 'PTE - 54']"
900, Usa,"Merrimack College, North Andover","Massachusetts, Usa",₹41L/Yr,₹4L/Yr,B.A Hospitality Management,"['IELTS - 6.5', 'PTE - 53']"
901, Usa,"Saint Edward's University, Austin","Texas, Usa",₹40L/Yr,₹1L/Yr,B.B.A,"['GMAT - 550', 'IELTS - 6.0', 'PTE - 56']"
902, Usa,"Augustana College, Rock Island","Illinois, Usa",₹36L/Yr,₹6L/Yr,B.A Sociology,"['GRE - 293', 'IELTS - 7.5', 'PTE - 73']"
903, Usa,"Iona College, New Rochelle","New York, Usa",₹32L/Yr,₹5L/Yr,M.A Philosophy,['IELTS - 6']
904, Usa,"Berry College, Mount Berry","Georgia, Usa",₹30L/Yr,₹5L/Yr,B.N,"['GRE - 296', 'IELTS - 6.5']"
905, Usa,"Elizabethtown College, Elizabethtown","Pennsylvania, Usa",₹35L/Yr,₹6L/Yr,Diploma Computer Systems Technic...,['TOEFL - 80']
906, Usa,"Augustana University, Sioux Falls","South Dakota, Usa",₹50L/Yr,₹6L/Yr,B.S Construction Management,"['GMAT - 500', 'IELTS - 6.5', 'PTE - 54']"
907, Usa,"California Institute of the Arts, Valencia","California, Usa",₹40L/Yr,₹6L/Yr,B.A Data Science and Analytics,"['GMAT - 550', 'TOEFL - 79']"
908, Usa,"Linfield College, McMinnville","Oregon, Usa",₹29L/Yr,₹12L/Yr,B.B.A Project Management,"['GMAT - 510', 'TOEFL - 75']"
909, Usa,"University of Northern Iowa, Cedar Falls","Iowa, Usa",₹8L/Yr,₹6L/Yr,Diploma Programmer Analyst/Inter...,"['Duolingo - 95', 'IELTS - 6.0', 'PTE - 50']"
910, Usa,"Brigham Young University - Idaho, Rexburg","Idaho, Usa",₹44L/Yr,₹2L/Yr,Diploma Fashion Design,"['GMAT - 400', 'IELTS - 6.0', 'PTE - 53']"
911, Usa,"Lake Forest College, Lake Forest","Illinois, Usa",₹46L/Yr,₹8L/Yr,M.B.A,"['GMAT - 500', 'TOEFL - 76']"
912, Usa,"Albion College, Albion","Michigan, Usa",₹37L/Yr,₹5L/Yr,M.B.A Business Analytics,"['IELTS - 6.0', 'PTE - 45']"
913, Usa,"High Point University, High Point","North Carolina, Usa",₹41L/Yr,₹6L/Yr,M.B.A,"['GMAT - 550', 'TOEFL - 79']"
914, Usa,"Whittier College, Whittier","California, Usa",₹24L/Yr,₹7L/Yr,M.B.A,"['GMAT - 530', 'IELTS - 6.5']"
915, Usa,"University of Tampa, Tampa","Florida, Usa",₹5L/Yr,₹3L/Yr,M.B.A,"['GMAT - 500', 'IELTS - 6.5', 'PTE - 58']"
916, Usa,"California State University - Stanislaus, Turlock","California, Usa",₹42L/Yr,₹2L/Yr,M.B.A,['IELTS - 5.5']
917, Usa,"Cornell College, Mount Vernon","Iowa, Usa",₹22L/Yr,₹7L/Yr,M.B.A,"['IELTS - 5.5', 'PTE - 44']"
918, Usa,"Washington and Jefferson College, Washington","Pennsylvania, Usa",₹46L/Yr,₹18L/Yr,M.B.A,"['IELTS - 5.5', 'PTE - 48']"
919, Usa,"Stetson University, DeLand","Florida, Usa",₹35L/Yr,₹5L/Yr,M.B.A,"['GMAT - 500', 'TOEFL - 79']"
920, Usa,"Moravian College, Bethlehem","Pennsylvania, Usa",₹48L/Yr,₹2L/Yr,B.N Nursing,"['IELTS - 6.5', 'PTE - 53']"
921, Usa,"Susquehanna University, Selinsgrove","Pennsylvania, Usa",₹41L/Yr,₹49K/Yr,B.B.A,"['GMAT - 600', 'IELTS - 7.5']"
922, Usa,"Hamline University, Saint Paul","Minnesota, Usa",₹40L/Yr,₹3L/Yr,B.S Nursing,"['IELTS - 6.5', 'PTE - 54']"
923, Usa,"Berea College, Berea","Kentucky, Usa",₹32L/Yr,₹2L/Yr,B.N,['IELTS - 6.5']
924, Usa,"Saint Vincent College, Latrobe","Pennsylvania, Usa",₹20L/Yr,₹4L/Yr,Diploma Environmental Protection...,['TOEFL - 73']
925, Usa,"Spelman College, Atlanta","Georgia, Usa",₹35L/Yr,₹3L/Yr,Diploma Addiction Counselling,"['GMAT - 500', 'TOEFL - 79']"
926, Usa,"Wittenberg University, Springfield","Massachusetts, Usa",₹44L/Yr,₹3L/Yr,Diploma Business Administration,"['IELTS - 6.5', 'PTE - 54']"
927, Usa,"Coe College, Cedar Rapids","Iowa, Usa",₹32L/Yr,₹4L/Yr,Diploma Human Resource Managemen...,['IELTS - 6']
928, Usa,"Rider University, Lawrenceville","New Jersey, Usa",₹35L/Yr,₹5L/Yr,B.N,"['GRE - 285', 'TOEFL - 85']"
929, Usa,"Elmhurst College, Elmhurst","Illinois, Usa",₹16L/Yr,₹6L/Yr,B.N,['IELTS - 5.5']
930, Netherlands,"Amsterdam Business School, Amsterdam","North Holland, Netherlands",₹17L/Yr,₹12L/Yr,M.B.A,"['IELTS - 6.0', 'PTE - 44']"
931, Usa,"Lehman College, Bronx","New York, Usa",₹20L/Yr,₹2L/Yr,M.S Applied Computer Science,"['GMAT - 550', 'IELTS - 6.0', 'PTE - 58']"
932, Usa,"University of North Carolina, Asheville","North Carolina, Usa",₹24L/Yr,₹12L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 54']"
933, Usa,"Ashland University, Ashland","Ohio, Usa",₹35L/Yr,₹6L/Yr,M.Ed Institutional Endorsement,['TOEFL - 79']
934, Usa,"Lawrence Technological University, Southfield","Michigan, Usa",₹8L/Yr,₹6L/Yr,M.S Nursing,"['IELTS - 6.5', 'PTE - 58']"
935, Usa,"University of North Georgia, Dahlonega","Georgia, Usa",₹24L/Yr,₹10L/Yr,M.B.A,"['GMAT - 450', 'TOEFL - 79']"
936, Usa,"Webster University, Webster Groves","Missouri, Usa",₹26L/Yr,₹10L/Yr,M.S Computer and Information Sci...,"['GMAT - 500', 'IELTS - 6']"
937, Usa,"Christian Brothers University, Memphis","Tennessee, Usa",₹35L/Yr,₹8L/Yr,M.S Computer and Information Sci...,"['IELTS - 6.5', 'PTE - 53']"
938, Usa,"Carroll University, Waukesha","Wisconsin, Usa",₹30L/Yr,₹11L/Yr,M.S Data Analytics,"['GMAT - 610', 'TOEFL - 80', 'PTE - 54']"
939, Usa,"Lynn University, Boca Raton","Florida, Usa",₹30L/Yr,₹10L/Yr,M.A Educational Leadership and S...,"['IELTS - 5.5', 'PTE - 45']"
940, Usa,"Baldwin Wallace University, Berea","Ohio, Usa",₹33L/Yr,₹8L/Yr,M.B.A,"['Duolingo - 100', 'IELTS - 6']"
941, Usa,"Otterbein University, Westerville","Ohio, Usa",₹38L/Yr,₹6L/Yr,M.B.A,"['GMAT - 550', 'IELTS - 6']"
942, Usa,"Queens University of Charlotte, Charlotte","North Carolina, Usa",₹17L/Yr,₹8L/Yr,M.B.A,"['GMAT - 600', 'IELTS - 6.5']"
943, Usa,"Minnesota State University Mankato, Mankato","Minnesota, Usa",₹42L/Yr,₹6L/Yr,M.A Accounting,"['IELTS - 6.0', 'PTE - 69']"
944, Usa,"Ripon College, Ripon","Wisconsin, Usa",₹30L/Yr,₹8L/Yr,M.S Information Studies,"['GMAT - 665', 'IELTS - 6.0', 'PTE - 48']"
945, Usa,"St. Mary's University, San Antonio","Texas, Usa",₹30L/Yr,₹5L/Yr,M.B.A,['IELTS - 6.5']
946, Usa,"Illinois College, Jacksonville","Illinois, Usa",₹11L/Yr,₹11L/Yr,M.B.A,['TOEFL - 80']
947, Usa,"Central Washington University, Ellensburg","Washington, Usa",₹30L/Yr,₹7L/Yr,M.A Health Promotion,"['TOEFL - 79', 'PTE - 53']"
948, Usa,"Hood College, Frederick","Maryland, Usa",₹28L/Yr,₹6L/Yr,M.B.A Management,"['Duolingo - 135', 'TOEFL - 104', 'PTE - 70']"
949, Usa,"Fairleigh Dickinson University, Teaneck","New Jersey, Usa",₹23L/Yr,₹7L/Yr,M.B.A,"['Duolingo - 115', 'IELTS - 7']"
