College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
VIT Vellore,"Vellore,  Tamil Nadu","AICTE, UGC",Estd 1984,Deemed to be University,8.2,Table of Content
LM Thapar School of Management (LMTSM),"Chandigarh,  Chandigarh","AICTE, AACSB",Estd 2007,Private,8.0,"Kirori Mal College is an affiliated college of Delhi University. It is accredited by the NAAC with an ‘A++’ grade and ranked 9th in Science category by The Week 2022. Kirori Mal College offers 40 UG and PG courses to 1400 students every year. The college has 20 academic departments, including the Department of History and Department, Mathematics, Department of Computer Science, etc. "
Kirori Mal College,"New Delhi,  Delhi NCR",,Estd 1954,Public,8.3,St. Xavier’s College in Mumbai is a private roman catholic college affiliated with the University of Mumbai. The college has been ranked as India’s No.1 private autonomous college by Education World for the second year in a row.
St. Xavier's College Mumbai,"Mumbai,  Maharashtra",UGC,Estd 1869,Private (Autonomous),8.1,Welcomgroup Graduate School of Hotel Administration also known as WGSHA Manipal is a private educational institution that is a constituent unit of Manipal Academy of Higher Education and was established in 1986 as a unit of Dr TMA Pai Foundation in partnership with the Hotels Division of ITC Ltd. WGSHA Manipal is accredited with the World Association of Chefs Societies and Indian Federation of Culinary Associations. WGSHA has been ranked as Number 1 privately owned institute in India for hospitality education and 26th in the world among all International colleges.
WGSHA Manipal,"Manipal,  Karnataka","AICTE, NBA",Estd 1987,Private,8.8,Ramakrishna Mission Vidyamandira is a constituent college of Calcutta University. The authorities of the Ramakrishna Mission started Ramakrishna Mission Vidyamandira under Saradapith which is a branch of Ramakrishna Mission. 
"Ramakrishna Mission Vidyamandira, Howrah","Howrah,  West Bengal",UGC,Estd 1960,Public,8.5,
"School of Management - [SOM], PDEU, Gandhinagar","Gandhinagar,  Gujarat",AICTE,Estd 2007,Private,7.1,
Manipal College of Dental Sciences,"Mangalore,  Karnataka",DCI,Estd 1987,Private,8.7,"Manipal College of Dental Sciences (MCODS), Manipal is ranked 2nd for Dental by NIRF 2023. The institute comes under the aegis of the Manipal Academy of Higher Education (MAHE) and recognized by the Malaysian Dental Council and Kathmandu University (Nepal). MCODS offers degree, certificate and diploma courses in Dental Sciences. Admission is done on the basis of the entrance exam and cutoff criteria of the institute."
"Manipal College of Dental Sciences, Manipal","Manipal,  Karnataka",DCI,Estd 1965,Private,8.8,
"Nair Hospital Dental College, Mumbai","Mumbai,  Maharashtra",DCI,Estd 1933,Government,7.6,"Siva Sivani Institute of Management (SSIM) is a private business school located in Hyderabad. The college has been ranked 1st in Placements in the whole South India region. It is promoted by the Siva Sivani Group of Educational Institutions, which has been running the prestigious and internationally renowned Siva Sivani Public Schools for more than five decades. The flagship program of SSIM is the 2-year PGDM program across 3 specializations. The instute, through its international collaborations, offer an unique opportunity where students can opt for credit transfer to Herzing University after completing the 1st year of the PGDM course at SSIM. Apart from that, SSIM offers full-time and part-time doctoral programs in the discipline of Management."
SSIM Hyderabad- Siva Sivani Institute of Management,"Hyderabad,  Telangana","AICTE, NBA",Estd 1992,Private,7.5,"Symbiosis Institute of Media and Communication established in 1971 is ranked among the top Media & Communication colleges in the country. The institute offers MBA in Communication Management and MA in Mass Communication (MA MC). SIMC Pune offers MBA and MA programs. Admission to the MBA program is based on SNAP score while the Selection to the MA program in SIMC Pune is based on SIMC MA (MC) Online Entrance Test. Final Selection of the shortlisted candidates is based on Group Exercise, Personal Interaction and Writing Ability Test. "
SIMC Pune,"Pune,  Maharashtra",AICTE,Estd 1991,,8.5,"SCMS Cochin School of Business is a private business school located in Cochin, Kerala. It was established in 1976 by Dr. G. P. C. Nayar and is affiliated with Mahatma Gandhi University, Kottayam. The school is approved by All India Council for Technical Education (AICTE) and is accredited by National Board of Accreditation (NBA). SCMS Cochin School of Business ranked as one of the best B Schools in Kerala, one of the best 15 in South India and one of the best 50 in India. It has also been ranked among the Super League Band A2 in the Business Standard B-School Ranking 2022."
"SCMS Cochin School of Business, Cochin","Kochi,  Kerala","AICTE, NBA",Estd 1976,Private,7.7,"Established in 1995 with a campus size of 1 acre, Fortune Institute of International Business (FIIB), New Delhi has a 25+ year’s legacy of excellence in management education. The B-School is awarded by Adfocus Media as the Best Institute for Business Recruitment in Delhi NCR The B-School has also been awarded ‘Best Educational Institute for Industry Interface in India’ by ASSOCHAM. The college has a 25+ year’s legacy of excellence in management education, FIIB offers AICTE approved two-year full-time flagship general PGDM programme as well as a 2 year specialized PGDM programme in Financial Management. Apart from PGDM, the institute offers one full-time and one part-time Postgraduate Program in Business Intelligence and Data Analytics (PGP-BI & DA). These programmes are offered in association with IBM Corporation."
FIIB Delhi,"New Delhi,  Delhi NCR","AICTE, NBA, AIU, AACSB",Estd 1995,Private,8.0,
IBMR Bangalore,"Bangalore,  Karnataka",AIU,Estd 1999,Private,7.4,Sri Venkateswara College admission process is completely online. Candidates seeking admission are required to apply online on the official website. Admission to UG courses is done on the basis of CUET scores followed by e-counseling. Candidates need to pass their 10th and 12th class with 40 percent marks in total to be eligible for UG courses provided. The program-specific eligibilities vary from course to course.
"Sri Venkateswara College, Delhi","New Delhi,  Delhi NCR",,Estd 1961,Public,8.4,"Saveetha Institute of Medical and Technical Sciences (SIMATS) / Saveetha University was established in 2005. It is located in Chennai, Tamil Nadu. The institute has been recognized by UGC and accredited by NAAC. Saveetha University is a deemed to be university.
Saveetha University offers various undergraduate, postgraduate and doctoral courses in various disciplines like Medicine, Dental Surgery, Engineering, Physiotherapy, Nursing, Law and Management. Admissions at Saveetha University to these courses are conducted every year. The admissions are conducted through various Departments at Saveetha University."
Saveetha University,"Chennai,  Tamil Nadu",UGC,Estd 2005,Deemed to be University,8.3,"VIT Business School (VITBS) in Chennai is a part of VIT (Vellore Institute of Technology). The school offers MBA and ph.d. In Management. VITBS provide scholarship to top scorers of CAT, MAT, NMAT, XAT, and GMAT in the form of fee waiver. Admission to the college is through the entrance exam."
"VIT Business School (VITBS)- Courses, Admission 2024, Ranking, Fees, Placement","Chennai,  Tamil Nadu",AICTE,,Private,8.8,"National Institute of Fashion Technology Chennai was established in 1995 for Fashion with Design, Technology and Management brands. NIFT is the nation's first fashion education institution and has led the way in supplying the textile and clothing industries with qualified human resources. NIFT Chennai offers 7 UG & 2 PG courses. Apart from these courses, NIFT Chennai also offers hybrid courses as well. Admission to any program at NIFT Chennai is based on the NIFT Entrance exams and GD/PI. The application process is conducted online."
NIFT Chennai,"Chennai,  Tamil Nadu",AICTE,Estd 1986,Public,7.4,"Aligarh Muslim University (AMU) is a public central university in Aligarh, Uttar Pradesh. Established in 1920, AMU is affiliated with UGC and a member of the Association of Indian Universities (AIU). The NAAC also accredits it with an ‘A+’ grade. AMU is ranked 9th among top universities in India and 32nd for Engineering in NIRF Rankings 2023. AMU is also ranked 1001-1200 at the global level by the QS World University Rankings 2024. "
AMU,"Aligarh,  Uttar Pradesh",,Estd 1920,Central University,8.2,"IIEST (Indian Institute of Engineering Science and Technology) was established in 1856. The institute is ranked 66th in the overall category and also the institute has secured 35th and 10th place by NIRF 2023 in the field of Engineering and Architecture respectively. More than 16 departments of IIEST Shibpur offer courses in varied domains and specialisations like Management, Architecture, Engineering, and other streams. "
IIEST Shibpur,"Howrah,  West Bengal",AICTE,Estd 1856,Autonomous University,8.1,"Anbil Dharmalingam Agricultural College and Research Institute (ADAC & RI) is one of the top agricultural colleges in Tamil Nadu. The institute established in 1989, is affiliated to Tamil Nadu Agricultural University and is approved by ICAR. The college is famous for its research activities. "
"Anbil Dharmalingam Agricultural College and Research Institute - [ADAC&RI], Tiruchirappalli","Tiruchirappalli,  Tamil Nadu",ICAR,Estd 1989,Public,9.0,"IMS Ghaziabad (University Courses Campus) was founded in 1990 by a group of visionaries and intellectuals to impart quality education in a stimulating and innovative environment where students are empowered with knowledge and professional skills while upholding the values of integrity, tolerance and mutual respect. IMS, Ghaziabad, University Courses Campus is affiliated by Chaudhary Charan Singh University (CCS), Meerut. It is accredited ‘A Grade’ by NAAC and ISO (9001:2015 & 50001:2018) certified. The college ranked 67th in Top B-School in India and 24th in North Zone by IIRF 2023. The College is also ranked 10th in India and 4th in Northern Region amongst Top BBA Colleges by GHRDC BBA Colleges Survey 2022. "
IMS Ghaziabad University Courses Campus,"Ghaziabad,  Uttar Pradesh",UGC,Estd 1990,Private,8.7,Atma Ram Sanatan Dharma College admission process is completely online. Candidates seeking admission are required to apply online on the official website. Admission to UG courses is done on the basis of CUET scores followed by e-counselling. PG admissions are done through CUET PG. 
"Atma Ram Sanatan Dharma College, Delhi","New Delhi,  Delhi NCR",UGC,Estd 1959,Public,7.9,
KV Institute of Management and Information Studies,"Coimbatore,  Tamil Nadu","AICTE, UGC",Estd 2009,Private,8.9,"Symbiosis Centre for Information Technology is a constituent of Symbiosis International Deemed-to-be University. SCIT Pune was established in 1999 as an IT Business school that focuses on imparting education in the niche area of Information Technology Business Management. SCIT Pune has been ranked 19th among the top private institutions in India by IIRF Ranking 2024 and it has been ranked 45th among the top private B-Schools by Outlook I-CARE 2023. Further, it is 76th among the top B-Schools in India by Business Today 2023."
Symbiosis Centre for Information Technology (SCIT Pune),"Pune,  Maharashtra",UGC,,Private,8.1,"MIT Arts Design & Technology (MIT ADT) comes under flagship of Maharashtra Academy of Engineering and Educational Research (MAEER) and was established in year 2015. It is situated in Pune, Maharashtra. MIT ADT is set up a vast beautiful campus spanning more than 100 acres. It is inspired from Indian spirituality and philosophy with sporting state-of-art infrastructure.MIT Art, Design & Technology University, Pune provides both Undergraduate, Post Graduate, as well as special industry, focused postgraduate programs. Presently more than 4000 students are enrolled in MIT ADT."
MIT ADT,"Pune,  Maharashtra","NCTE, COA, UGC",Estd 2015,Private University,8.0,The Ramakrishna Mission Residential College (RKMRC) in Narendrapur was established in the year 1960 and is an autonomous type of college. Ramakrishna Mission Residential College (RKMRC) Kolkata is affiliated with the University of Calcutta. Ramakrishna Mission Residential College Kolkata was ranked 19th among the colleges in India by the NIRF 2023 Rankings. It has also been accredited by the NAAC with an ‘A’ grade.
Ramakrishna Mission Residential College Kolkata,"Kolkata,  West Bengal",UGC,Estd 1960,Private (Autonomous),8.2,"International School of Business & Media (ISB&M) Bangalore is one of the top private B -Schools established in the year 2005. The institute offers a dual specialization Post Graduate Diploma in Management (PGDM) program. ISB&M Bangalore is approved by AICTE. It is ranked at 36th position among “All India Top B-Schools” by Chronicle B-School Survey 2023. The minimum eligibility to apply for ISB&M Bangalore PGDM is that the candidate must have passed a Bachelor’s Degree with a minimum of 50% marks (45% marks for reserved category). The institute accepts CAT/ XAT/ CMAT/ AIMA/ ATMA/ KMAT scores. ISB&M Bangalore PGDM's total fee is INR 9,00,000."
ISB&M Bangalore,"Bangalore,  Karnataka",AICTE,Estd 2005,Private,,"Chitkara University is a private university situated in Punjab, India. It was established in 2002 and offers a range of undergraduate, postgraduate, and doctoral programs in both full-time and part-time modes. Admissions are granted to applicants who have cleared national or regional-level competitive exams and have undergone personal interviews and group discussions. For Ph.D. admission, Chitkara University considers the results of the UGC-CSIR-NET/JRF/SLET/GATE, followed by a personal interview. Check Chitkara University Admission 2024"
"Chitkara University, Chandigarh","Patiala,  Punjab","NCTE, COA, PCI, INC, UGC",Estd 2002,Private University,7.9,"St. Joseph’s Institute of Management (SJIM) is ranked 23rd Best Private B-School in South Zone by The Week 2023. It offers 3 Post Graduate courses in the field of management. The total intake in these academic programs is 180. Admission is done through national-level management entrance tests like CAT, MAT, XAT, GMAT, etc.  "
SJIM Bangalore,"Bangalore,  Karnataka",AICTE,Estd 1968,Private,8.4,"ICAR-Indian Agricultural Statistics Research Institute (IASRI) is a pioneer institute of Indian Council of Agricultural Research (ICAR). Indian Agricultural Statistics Research Institute was established in the year 1970. IASRI holds the approval of UGC and occupies a place of pride in the National Agricultural Statistics System (NASS). IASRI offers Ph.D. and M.Sc. courses in collaboration with PG School of Indian Agricultural Research Institute (IARI), New Delhi. Admissions at IASRI will be based on ICAR JRF and CUET PG entrance exams for Ph.D. and M.Sc. respectively. "
IASRI,"New Delhi,  Delhi NCR",ICAR,Estd 1970,Public,7.8,
"Jaipuria Institute Of Management, Ghaziabad","Ghaziabad,  Uttar Pradesh",AICTE,Estd 2001,Private,8.4,"Deen Dayal Upadhyaya (DDU) College is a constituent college of the University of Delhi. The college was established in the year 1990 and is located in Sector-3, Dwarka. Deen Dayal Upadhyaya College is ranked 24th among Indian colleges by the National Institute Ranking Framework (NIRF) in 2023. Deen Dayal Upadhyaya College is affiliated with the University Grants Commission (UGC) and National Assessment and Accreditation Council (NAAC) with a Grade ‘B’ and a CGPA of 2.63 on a 4-point scale."
Deen Dayal Upadhyaya College Delhi,"New Delhi,  Delhi NCR",UGC,Estd 1990,Public Institute,7.9,"St. John's Medical College has been accorded a 5-Star Grade by NAAC. The college is spread over 132 Acres of verdant campus in Bengaluru offering all modern facilities to the students. St. John's Medical College offers decent placement opportunities to its students. The median package offered to MBBS and PG (3-Year) students at St. John's Medical College Placements stood at INR 4.2 LPA, and INR 9 LPA, respectively as per its 2023 NIRF Report. "
St. John's Medical College,"Bangalore,  Karnataka",MCI,Estd 1963,Private,8.6,"Indira School of Business Studies, established in 2006, comes under the umbrella of Indira Group of Institutes. The institute offers degree courses in the discipline of Management. The institute has ranked 28th among the Best B-Schools in India, according to Business India Magazine for its flagship PGDM programme. Check ISBS Pune Courses & Fee structure"
ISBS PGDM Pune,"Pune,  Maharashtra","AICTE, NBA",Estd 2006,Private,8.0,Indian Veterinary Research Institute (IVRI) is known for its advanced research and post-graduate programs. The undergraduate courses began from the academic year 2015-16 with the intake of 20 seats which is now increased to 24 seats. 21 out of 24 seats are filled by IVRI and the remaining 3 by the Veterinary Council of India (VCI). The course is open to all Indian Nationals.
"Indian Veterinary Research Institute [IVRI], Bareilly, Uttar Pradesh","Bareilly,  Uttar Pradesh",ICAR,Estd 1889,Deemed to be University,8.9,Some of the important highlights of KIIT School of Management (KSOM) are tabulated below:
KIIT School of Management,"Bhubaneswar,  Odisha","AICTE, NBA",Estd 1993,Private Institute,8.6,"Vivekanand Education Society's Business School (VBS), is an integral part of Vivekanand Education Society (VES), a premier education institution, which came into being in 1962. As a business school set up by a highly-respected entity of Mumbai, the Vivekanand Business School (VBS), Mumbai is one of the most prestigious destinations for professionals In Management Education. VBS ranked 7th by Times of India Business School in Mumbai. It also ranked 62nd in the Top 100 B Schools category PAN India by The Times of India B-School Survey 2023. "
VBS Mumbai,"Mumbai,  Maharashtra","AICTE, NBA, AIU",Estd 2020,Private,8.0,"Kochi Business School (KBS), Kochi, Kerala, is a centre of excellence located strategically near Smart city and Infopark in Kochi. Established in the year 2011, the school has an alliance with LEAD College of Management Palakkad, which is ranked by Business India as one of the top 50 Business schools in the country. The MBA programme offered by Kochi Business School is affiliated to the Mahatma Gandhi University, Kottayam and approved by AICTE."
"Kochi Business School - [KBS], Kochi","Kochi,  Kerala",AICTE,Estd 2011,Private,7.7,"PSG College of Arts and Science, Coimbatore was established in 1947 by the PSG Sons’ & Charities Trust. It has been graded ‘A’ by NAAC, approved by UGC, and recognised by AICTE."
PSG College of Arts and Science Coimbatore,"Coimbatore,  Tamil Nadu",,Estd 1947,Public (Autonomous),8.4,Xavier Institute of Communication - [XIC] is a unit of St Xaviers’ College Autonomous and was established in 1969. XIC Mumbai offers a total of 6 full-time PG diploma courses across various specialisations. The institute also offers various part-time certification courses on its campus too. Admission to the university is on the basis of the XIC Online Entrance Test (OET) and a personal/ skype interview.
XIC Mumbai,"Mumbai,  Maharashtra",,Estd 1969,Private Institute (Autonomous),7.9,"University of Hyderabad also known as Hyderabad university is a central university established in the year 1974. The university has been approved by UGC and accredited “A” grade by NAAC. It has been ranked 204 in Asia, as per QS World Ranking 2023. The university has been ranked 10th in University and 20th in Overall category, as per NIRF 2023 Ranking. Currently, the University of Hyderabad has 5,000+ students and 400+ faculty, from several disciplines. Hyderabad University is one of India's leading institutes of higher learning, with a focus on postgraduate studies. It is well-known for its outstanding research and excellent faculty."
University of Hyderabad (UOH),"Hyderabad,  Telangana","UGC, AIU",Estd 1974,Central University,8.2,
RIMS Bangalore,"Bangalore,  Karnataka",AICTE,Estd 2007,Private,8.5,"MCC Bangalore is recognized by the University Grants Commission. MCC Bangalore is a women's college located in Bangalore's Vasanth Nagar. The college has been re-accredited by NAAC with an A+ Grade (4th Cycle) and is affiliated with Bangalore City University. According to India Today, MCC Bangalore is among the top three in Karnataka for its offerings undergraduate and postgraduate courses in Arts, Science, Commerce, Business Studies and Management. "
"Mount Carmel College - [MCC], Bangalore","Bangalore,  Karnataka",UGC,Estd 1948,Private (Autonomous),8.3,"Dayalbagh Educational Institute (DEI) is a Public Institute which was given the status of Deemed University by UGC in the year 1981. The Institute is located in Agra, Uttar Pradesh. The genesis of education in Dayalbagh was the opening of the Radhasoami Educational Institutes (REI) on January 1,1917 by Sir Anand Sarup, Kt., the fifth Revered Leader of the Radhasoami Faith. The Institute is approved by All India Council for Technical Education (AICTE). DEI ranked 88th in Management Category by NIRF 2022."
DEI Agra,"Agra,  Uttar Pradesh","UGC, MHRD",Estd 1917,Deemed University,7.9,"Rajalakshmi School of Business (RSB), established in 2015, is a private college approved by AICTE and Govt. of Tamil Nadu. The college offers diploma courses in the discipline of Management. Admission to RSB is done on the basis of the performance of the candidates in the national level entrance exam. "
"Rajalakshmi School of Business (RSB), Chennai","Chennai,  Tamil Nadu",AICTE,Estd 2015,Private,7.7,"Kasturi Ram College of Higher Education, Delhi was established to provide excellence in education to the students in the field of Journalism, Management, Teaching, and Academics. The college aims to make the students competent and confident in their specialized field and make a rewarding career maintain their ethics and values. The journey of the college began with making efforts for the betterment of the society by the founders. The college pledges to establish a modern educational institute for the career making of the desired students. It aims at imparting value added education maintaining quality and quantity in teaching by offering the students proper education and their overall development through various activities within the college and organizing guest lectures."
Kasturi Ram College of Higher Education,"New Delhi,  Delhi NCR",,Estd 2005,Private,7.2,"Dyal Singh College is a co educational institute and is a constituent of Delhi University. It is accredited with a grade ‘A’ by the NAAC and is ranked 48th by the NIRF 2023. Dyal Singh College offers 51 courses in Science, Humanities, and Commerce Department. The college offers its students with UG courses which include B.A (Hons), (B.Sc (Hons), B.Com, B.Com (Hons) etc. These courses are offered with numerous specializations such as Physics, Geography, History, Commerce, etc. The admission criteria for enrolling into the UG course is now based on the CUET examinations held by the Delhi University."
"Dyal Singh College (DSC), DU","New Delhi,  Delhi NCR",,Estd 1952,Government,7.8,"The National Dairy Research Institute (NDRI) is one of the best institutes that are dedicated towards the development of the dairy research. The National Dairy Research Institute, Karnal was originally started as Imperial Institute of Animal Husbandry and Dairying in 1923 at Bangalore. It was expanded and renamed as Imperial Dairy Institute in 1936 and was known as National Dairy Research Institute after independence in 1947."
National Dairy Research Institute - [NDRI],"Karnal,  Haryana","ICAR, UGC",Estd 1923,Deemed to be University,9.1,"IIT Mandi is a public research university located in the Kamad Valley of Mandi, Himachal Pradesh. IIT Mandi is a second-generation IIT,  established by the MHRD, Govt of India. It is ranked 33 in engineering and 73 in the overall category of NIRF rankings 2023. IIT Mandi is spread over an area of 538 acres, including 4 schools of education. The institute provides UG, PG, PhD, and Dual degree programs, including BTech, MTech, MA, MSc, PhD, Integrated MTech, etc. Hello"
IIT Mandi,"Mandi,  Himachal Pradesh",AICTE,Estd 2009,Autonomous University,8.3,"Jaipuria Institute of Management, Jaipur, established in 2006, is a NAAC 'A' Grade Accredited Business School. The institute is ranked 80th amongst all Management Institutes in India by NIRF 2023, Ministry of HRD, Govt. of India and ranked 85th amongst Top B-Schools in India by Business Today (BT) 2023. Jaipuria Jaipur was also ranked 58th by IIRF 2023 in Top B-School (Pvt.) and 21st in North Zone."
"Jaipuria Institute of Management, Jaipur","Jaipur,  Rajasthan","AICTE, NBA, AIU",Estd 2006,Private,8.0,"National Academy of Event Management & Development (NAEMD) was established in 2003 and was accredited by NAAC. NAEMD has 4 campuses in Jaipur, Mumbai, Ahmedabad and Delhi. NAEMD, Mumbai offers 6 courses on 2 streams, Hotel Management, Media and Mass Communication and 4 degrees like BBA, PGD, MBA, Diploma. NAEMD Admission is based on the marks secured by the students in their last qualifying examination. For applying in Under-Graduate Programmes candidates need to clear 10+2 examinations or equivalent from recognised Board and for Post-Graduate Programmes, Graduation in any stream from a recognised University."
National Academy of Event Management & Development,"Mumbai,  Maharashtra",,Estd 2003,Private,7.6,
"Institute of Business Management & Research - [IBMR], Indore","Indore,  Madhya Pradesh",AICTE,Estd 1994,Private,8.4,"Lady Irwin College is a women’s college, affiliated to Delhi University and approved by UGC. It provides courses in Home Science under UG and PG curriculums. Also, few doctoral programmes are offered under 5 departments of Home Science. Other programmes of the college include a Postgraduate Diploma and a B.Ed course. "
"Lady Irwin College, Delhi","New Delhi,  Delhi NCR",UGC,Estd 1932,Public,8.3,"Christ University is a private university located in Bangalore, Karnataka. Established in 1969 as Christ College, it was declared as a deemed-to-be university by the UGC in 2008. Christ University is ranked 67th among the top 100 universities in India in NIRF Ranking 2023 and accredited by the NAAC with an ‘A+’ Grade. Christ University has an enrolment of about 30,000 students each year across all five campuses. The main campus of Christ University is located in Hosur (Bangalore) and the other two Bangalore campuses are located in Bannerghatta and Kengari. Christ University's other two campuses are located in Delhi NCR and Lavasa (Pune). "
Christ University Bangalore,"Bangalore,  Karnataka","UGC, NBA",Estd 1969,Deemed to be University,8.3,"Ramaiah Institute of Management has been consistently ranked among the top B-school in Bangalore as well as India. It offers a postgraduate diploma program in the field of management under various specializations. Admissions to the same are done on the basis of merit scored in competitive national level examinations namely CAT, MAT, XAT, GMAT, etc."
"Ramaiah Institute of Management - [RIM], Bangalore","Bangalore,  Karnataka",AICTE,Estd 1995,Private Institute,7.4,
DY Patil University's School of Management - [DYPUSM],"Navi Mumbai,  Maharashtra","AICTE, UGC",Estd 2004,Private,6.9,"Indira Institute of Management, Pune (IIMP) was established in the year 1994 under the patronage of Shree Chanakya Education Society (SCES). It is the first Management Institute in Pune and third in Maharashtra to be accredited by the National Board of Accreditation (NBA). The institute comes under the umbrella of Indira Group of Institutes and Shree Chanakya Education Society. It offers degree and doctoral courses in the discipline of Management."
Indira Institute of Management Pune,"Pune,  Maharashtra","AICTE, NBA",Estd 1994,Private,7.9,"IHM Hyderabad will invite application form for admission for the session 2023-2024 soon. The application form can be downloaded from the official website and can be sent through the mail with all the supporting documents. Selection will be based on the marks secured in the qualifying examination. The Institute of Hotel Management Catering Technology & Applied Nutrition (IHM)was established in 1972. It was upgraded in 1984 by the Government of India and a three-year diploma program in Hotel Management and Catering Technology was introduced. At this moment, it offers B.Sc., P.G. Diploma, and Certification courses. Admission to the B.Sc. the course is based on the scores obtained at the national level entrance examination conducted by NTA. In 2019, the institute was ranked 4th among the best Hotel Management Institutes of India by Outlook, 5th by India Today, and 8th by The Week. Good Placement also available. "
IHM Hyderabad,"Hyderabad,  Telangana",NCHMCT,Estd 1972,Public (Autonomous),8.4,"Institute of Hotel Management Catering Technology and Applied Nutrition (IHM) Chennai, was founded in 1963. It is an autonomous institute under the Ministry of Tourism, Government of India. The institute is affiliated to NCHMCT, Noida, and IGNOU, New Delhi. It offers B.Sc., M.Sc., Diploma, PG Diploma, and Certification courses in various disciplines of Hotel Management."
IHM Chennai,"Chennai,  Tamil Nadu",NCHMCT,Estd 1963,Government,8.6,"NUJS was established in 1999 by the Bar Council of India, in conjunction with the government of West Bengal. It is an autonomous law university offering courses at the undergraduate and postgraduate students. It is located in the salt lake city of Kolkata. It is considered to be one of the best amongst elite national law schools. The unvirsity offers the students a five year Integrated B.A./B.Sc. LLB(Hons.) degree programme at the undergraduate level and a master of laws at postgraduate level. The objectives of the university are:"
NUJS (NLU Kolkata),"Kolkata,  West Bengal","BCI, UGC",Estd 1999,State University,8.5,"Centre for Management studies, Bangalore is the center of excellence which develops leaders, people and business. It is one of the topmost business schools in the country where students, leaders and thinkers share their ideas and work for the well being and growth of the society. Students are provided highly valuable learning environment, with programmes designed to challenge and stimulate their ambitious minds. The students are prepared for managerial and specialist roles within public and business sector. Students are given the best opportunity to fulfill their potential and excel in their studies. The students are prepared for successful careers in management and finance."
"Center for Management Studies, Jain University - [CMSJU], Bangalore","Bangalore,  Karnataka",CRISIL,Estd 1991,Private,8.1,"The PSGR Krishnammal College for Women was founded by Sri. G. R. Govindarajulu and Smt. G. Chandrakanthi. The then Chief Minister of Tamilnadu, Sri. Bakthavatchalam inaugurated the college with an objective to meet the higher education needs of women. An autonomous institute, the college has received ISO 9001:2008 certification. The vision of the college is to offer sound education for molding the future generation of women. The college adheres to the principles of truth and values."
"PSGR Krishnammal College For Women, Coimbatore ","Coimbatore,  Tamil Nadu",UGC,Estd 1963,Private (Autonomous),8.8,
"Ajeenkya DY Patil University, School of Management, Pune","Pune,  Maharashtra",AICTE,Estd 2015,Private,7.9,"Babasaheb Bhimrao Ambedkar University (BBAU) is a Central University located in Vidya Vihar, Lucknow. It has been accredited 'Grade A' by NAAC and approved by UGC & MHRD. The university has 69th position in the overall category by NIRF, 2023. BBAU is running a number of 40+ departments under which numerous UG, PG, Research based and Integrated courses are provided. There are several streams such as Humanities and Sciences, Engineering, Agriculture, Biotechnology, Business, Law, Education and Environmental Sciences. "
BBAU,"Lucknow,  Uttar Pradesh","UGC, MHRD",Estd 1996,Central University,8.2,
"AJK Mass Communication Research Centre, New Delhi","New Delhi,  Delhi NCR",,Estd 1982,Private,7.7,"Manipal Academy of Higher Education (MAHE) popularly known as Manipal University is an Institution of Eminence Deemed to be University established in the year 1953. The university is accredited A++ Grade by NAAC and AIRIIA. As per the NIRF Ranking 2023, MAHE has been ranked 6th among top universities in India. Further, it has ranked 25th in the world for providing quality education and has also been listed among the top charts of The Week, Outlook and Education World like ranking agencies. MAHE offers 300+ programmes in 31+ streams at UG, PG and Post-Doctoral levels at its campuses in India and overseas. MAHE Manipal also offers lateral entry admission to seven UG courses. At the research level, the academy offers fellowship and PhD programs."
Manipal University (MAHE),"Manipal,  Karnataka","DCI, AICTE, PCI, INC, MCI, UGC",Estd 1953,Deemed to be University,8.3,"National Institute of Fashion Technology (NIFT), Hyderabad, commonly called NIFT was established in 1986 and is the pioneering institute of fashion designing has been providing quality education in the field of textile and apparel industry. NIFT Hyderabad offers UG, PG and continuing education (CE) programs in design stream to students. Admissions to both UG and PG courses are done through a common entrance test conducted by NIFT followed by a situation test. Selection takes into account the performance of the entrance test, situation test and GD/ PI. Check:NIFT Hyderabad Admission 2024"
NIFT Hyderabad,"Hyderabad,  Telangana",AICTE,Estd 1995,Public,8.1,"University College Thiruvananthapuram, established in 1866, is one of the oldest and most honored educational institutions in India. With a rich conformation,  the college offers a wide array of courses including 18 UG courses, 20 PG courses, 16 Ph.D. courses, 13 M.Phil courses, and 7 language programs. This compelling college has secured 23rd rank in the India Ranking college (NIRF 2019) by scoring 59.37 and has been re-accredited by the NAAC of UGC at 'A' grade in 2018."
"Trivandrum University College, Thiruvananthapuram","Thiruvananthapuram,  Kerala",,Estd 1866,Government,8.4,"SRMS IBS, established in 2011, is approved by AICTE and promoted by Shri Ram Murti Smarak (SRMS) Trust, Bareilly. The b-school has ranked 10th among the emerging B-Schools in India, 25th among the non-IIM B-Schools in India and 10th among all the business schools in North India. SRMS IBS offers UG courses in the disciplines of commerce, Business Management, and Computer Application and PG programs in the discipline of Management. The most popular course of the institute is a 2 year MBA+PGP dual specialization course. Apart from that, SRMS IBS also offers BBA, BCAand B.Com courses. Admission to SRMS IBS PG courses are done on the basis of the candidate's performance in national level management entrance exams such as CAT/ MAT/ XAT/ CMAT/ GMAT/ ATMA/ UPSEE/ SNAP followed by PI. Candidates can apply to SRMS IBS via their official website."
"SRMS IBS, Lucknow","Lucknow,  Uttar Pradesh",AICTE,Estd 2011,Private,9.3,
"Bapuji Dental College and Hospital - [BDCH], Davanagere","Davanagere,  Karnataka",DCI,Estd 1979,Private,8.0,
